gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cox5a,Astro,7.797981846002205e-99,-1.975310796175265,0.347,0.83,1.637576187660463e-94
Apoe,Astro,4.024902078509729e-80,-2.05409578164947,0.997,0.998,8.45229436487043e-76
Atxn7l3b,Astro,4.581504196093858e-75,-1.5234651174282303,0.32,0.765,9.6211588117971e-71
Ckb,Astro,1.8208211231451426e-64,0.7078723835002281,1,0.998,3.8237243586047994e-60
Itm2b,Astro,4.8230897586299354e-63,-0.9456482953459635,0.889,0.978,1.0128488493122865e-58
Pfn1,Astro,2.1514858696573088e-60,-1.2052431823058938,0.071,0.467,4.518120326280349e-56
Cyc1,Astro,7.439249307543857e-60,-1.3280726934247602,0.265,0.681,1.56224235458421e-55
Ndufab1,Astro,3.2836713530515865e-55,-1.2622624194159158,0.303,0.704,6.895709841408332e-51
Gapdh,Astro,5.752950632764707e-50,0.7582078768377936,0.99,0.894,1.2081196328805884e-45
Tmem93,Astro,2.175614680063649e-48,-1.1169083418913082,0.12,0.491,4.568790828133662e-44
Mfge8,Astro,1.3698104505239096e-47,0.9297493032583342,0.986,0.891,2.87660194610021e-43
Mrfap1,Astro,1.4445412954282202e-45,-1.2177018902359695,0.29,0.642,3.0335367203992624e-41
Ier2,Astro,3.583610499026618e-45,-1.5592877700065726,0.089,0.422,7.525582047955899e-41
Eno1,Astro,3.300928996474387e-44,0.7414986139912441,0.99,0.859,6.931950892596213e-40
Tmem66,Astro,4.758986621270337e-44,-1.0948774007012374,0.397,0.733,9.993871904667708e-40
Prnp,Astro,6.886493126831494e-44,0.651693504894252,0.992,0.968,1.4461635566346137e-39
Clta,Astro,8.651807094022437e-44,-1.1409603548424088,0.247,0.602,1.816879489744712e-39
Hmgn1,Astro,2.14525474026718e-43,-1.1755537352200776,0.208,0.57,4.505034954561078e-39
Uqcrfs1,Astro,7.496400125635739e-41,-1.032050536958627,0.183,0.533,1.5742440263835054e-36
1190002H23Rik,Astro,8.389796688229307e-41,-1.342268639463229,0.22,0.56,1.7618573045281545e-36
Gstm1,Astro,3.6177294742593747e-40,0.6909891929174754,0.992,0.946,7.597231895944686e-36
Gm1673,Astro,4.048323936452316e-40,-0.8509290382298169,0.026,0.279,8.501480266549863e-36
2310036O22Rik,Astro,4.6074218616338105e-39,-0.9629984467909178,0.081,0.385,9.675585909431001e-35
Malat1,Astro,1.5632885328062623e-38,0.5430072811905866,1,0.998,3.282905918893151e-34
Abhd3,Astro,7.022778586173837e-37,1.0338892812556888,0.737,0.38,1.4747835030965058e-32
Fkbp1a,Astro,8.906111874537536e-37,-1.3096009306597036,0.288,0.6,1.8702834936528825e-32
Gde1,Astro,2.8270695584288294e-36,-1.1015623590810968,0.149,0.457,5.936846072700542e-32
F3,Astro,1.4542648094166107e-33,0.8758129134108441,0.91,0.647,3.053956099774882e-29
Junb,Astro,1.4748556554240452e-33,-1.3344276038455334,0.274,0.595,3.097196876390495e-29
Tspan3,Astro,4.483744461623661e-33,-0.8816798610267464,0.489,0.785,9.415863369409688e-29
Tmsb4x,Astro,1.3163889970659545e-32,-1.2491244601029416,0.855,0.951,2.7644168938385046e-28
Fbxo2,Astro,1.853572735592e-32,-1.1257543761344186,0.428,0.741,3.8925027447432e-28
Marcksl1,Astro,7.06333368621483e-32,-1.0052706461422738,0.039,0.264,1.4833000741051142e-27
Eif3j,Astro,2.895314425564966e-31,-0.9156018193774446,0.134,0.425,6.080160293686428e-27
Glul,Astro,9.245880958799434e-31,0.47947155107149086,1,0.998,1.941635001347881e-26
Hrsp12,Astro,1.6740774708846602e-30,0.9993654169165354,0.682,0.373,3.515562688857786e-26
Tomm20,Astro,2.949464274643131e-30,-0.8871510855294451,0.09,0.348,6.193874976750576e-26
Pla2g7,Astro,4.190900782119902e-30,0.7125777756893501,0.956,0.79,8.800891642451795e-26
Fxyd6,Astro,1.2366234218665702e-29,-1.698018239768522,0.146,0.422,2.5969091859197974e-25
Chchd10,Astro,6.188190509177304e-29,-1.0554587441563152,0.169,0.442,1.2995200069272337e-24
Pde6d,Astro,2.458647521166518e-28,-0.7966277675155804,0.116,0.385,5.1631597944496874e-24
Dynll1,Astro,2.9238021468360725e-27,-0.7085744199492514,0.859,0.936,6.139984508355752e-23
Ppp1r3g,Astro,2.9319660469471477e-27,-1.0209960282834796,0.163,0.432,6.15712869858901e-23
Bola3,Astro,1.2669989206340317e-26,-0.7450493529553228,0.078,0.311,2.6606977333314665e-22
Cck,Astro,1.3172692632446358e-26,-1.8670234328475295,0.168,0.432,2.7662654528137355e-22
Ccdc85b,Astro,1.8140162291473007e-26,-0.7886401367168606,0.066,0.286,3.8094340812093313e-22
Mrps34,Astro,2.24861207802984e-26,-0.7084037351036243,0.076,0.311,4.722085363862664e-22
