gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Il33,1.5627935177416689e-152,3.810825251584867,0.792,0.011,3.2818663872575046e-148
Plp1,8.332419660674346e-148,-0.8519392187279919,1,1,1.7498081287416127e-143
Fkbp1a,4.023907261515176e-145,-1.6677648662170252,0.712,0.985,8.450205249181869e-141
Csrp1,2.3441945944715928e-141,1.63830939723421,0.999,0.79,4.922808648390345e-137
Ugt8a,4.318078373788288e-140,-1.7052157141780184,0.665,0.987,9.067964584955404e-136
Sec11c,1.3571757600091598e-134,1.785693860631536,0.987,0.743,2.8500690960192355e-130
Hist1h1c,1.562851962318979e-128,-2.043533264251333,0.21,0.854,3.281989120869856e-124
Gamt,1.5236424256613506e-121,-1.8626747514942392,0.335,0.901,3.1996490938888366e-117
Ckb,3.4878678687105157e-120,1.1232579121646271,0.999,0.983,7.324522524292082e-116
Gsn,6.364514293704372e-117,-1.564784608699723,0.954,0.994,1.3365480016779182e-112
Glul,1.5074021601679537e-115,2.256943987659689,0.972,0.833,3.1655445363527027e-111
Gde1,5.53776340018652e-115,-1.8769875492997679,0.23,0.8,1.1629303140391692e-110
Ptgds,1.3028286101651893e-109,2.7207355095493133,0.931,0.648,2.7359400813468976e-105
Atxn7l3b,1.5647038333227296e-109,-1.5870857443898791,0.402,0.895,3.2858780499777322e-105
Mgll,1.2943556953522099e-107,-1.5601610666657066,0.212,0.803,2.718146960239641e-103
Cldn11,6.982920323163647e-104,-0.7080214454481064,1,1,1.4664132678643657e-99
Marcksl1,8.059796420479351e-104,-1.5238231381088547,0.139,0.713,1.6925572483006636e-99
Car2,4.701555453988847e-103,1.4435039891661852,0.994,0.985,9.873266453376579e-99
Tmeff2,1.9262156225955353e-100,-1.1357128362209203,0.891,0.998,4.045052807450624e-96
Gatm,1.10159474866279e-95,1.1996999189695021,0.996,0.966,2.313348972191859e-91
2310044H10Rik,5.297129155936176e-94,-1.2914365640125085,0.427,0.903,1.112397122746597e-89
Pfn1,8.2423649123603e-92,-1.3676191919582075,0.136,0.687,1.730896631595663e-87
Pcyt2,9.937442697807347e-89,-1.2171970128143665,0.583,0.963,2.0868629665395426e-84
Stmn4,1.1387430383671066e-87,0.8515560454051494,0.999,0.993,2.3913603805709237e-83
Tmem151a,1.6474695257291545e-85,-1.4777983858037833,0.434,0.839,3.4596860040312245e-81
Qdpr,1.5574747116823525e-84,1.0472058566762414,0.997,0.953,3.2706968945329404e-80
0610010O12Rik,2.028161977373833e-83,1.2774855811421506,0.896,0.697,4.25914015248505e-79
H2afj,5.076780350481427e-83,-1.61190742655765,0.107,0.592,1.0661238736010997e-78
Mobp,5.412374210430644e-81,-0.6788366310856029,1,1,1.1365985841904352e-76
Pex5l,5.949857864854742e-81,1.74554530424245,0.72,0.257,1.2494701516194959e-76
Mog,5.6341272363733396e-80,-0.697998204442297,0.999,1,1.1831667196384013e-75
Tomm20,8.684968161505118e-80,-1.1801422397273442,0.092,0.575,1.8238433139160748e-75
Cox5a,5.845001204502005e-79,-1.2676122825485978,0.165,0.669,1.227450252945421e-74
Pde6d,6.54220148859855e-79,-1.2371029966304863,0.235,0.764,1.3738623126056954e-74
Mrfap1,1.8043204303168692e-76,-1.250219404410282,0.464,0.867,3.789072903665425e-72
Arpc1b,1.183772965395805e-73,-1.2865683445428688,0.568,0.929,2.4859232273311904e-69
Sept4,2.459796470760671e-73,0.6004271625535029,1,1,5.165572588597409e-69
2310036O22Rik,1.0780464611814992e-71,-1.1071452266850752,0.095,0.554,2.2638975684811483e-67
Anks1b,5.4372849919120466e-71,-1.1683795543324458,0.375,0.839,1.1418298483015298e-66
Rap1a,1.8854958466427732e-70,-0.9475382384213038,0.786,0.987,3.959541277949824e-66
Tmem93,3.515596930602575e-70,-1.0600890644756245,0.097,0.556,7.382753554265408e-66
1110007C09Rik,1.1819130374923256e-68,-1.2004366753292723,0.223,0.708,2.482017378733884e-64
5430435G22Rik,1.5979495046298292e-68,-1.0237157134782071,0.056,0.466,3.3556939597226414e-64
Tnfaip6,1.6119208101290561e-66,1.3541645051080582,0.835,0.584,3.385033701271018e-62
Tspan17,3.4144748618707396e-65,-0.9955261036469752,0.054,0.446,7.170397209928553e-61
Sqle,3.7041322348557163e-64,-1.2074560288395515,0.243,0.702,7.778677693197004e-60
Cyp51,7.835982380163695e-64,-1.2028736289249244,0.293,0.749,1.6455562998343757e-59
Igsf8,9.437562754761328e-64,-1.184976457428487,0.473,0.899,1.9818881784998788e-59
Tspan15,1.0062278283205074e-62,-1.1719402429153443,0.174,0.616,2.1130784394730657e-58
Mapt,5.490227528720297e-62,0.85633818490285,0.963,0.906,1.1529477810312623e-57
Ier2,1.5119863064779754e-61,-1.49757397443316,0.074,0.463,3.1751712436037483e-57
Tmem66,1.3039053144893191e-60,-1.0460619557049933,0.307,0.757,2.7382011604275703e-56
Tmem9b,2.780605772209963e-60,-1.030573232675986,0.303,0.758,5.839272121640922e-56
Tspan2,4.6080020891637623e-60,-0.8082207074050216,0.891,0.994,9.6768043872439e-56
Rab11a,1.1056862950171385e-58,-0.9479845458161862,0.113,0.528,2.3219412195359907e-54
Bnip3l,1.458557217021339e-57,0.8678047903917361,0.945,0.906,3.0629701557448117e-53
Dbi,1.172583701223474e-56,0.7774075571710521,0.996,0.978,2.4624257725692956e-52
Ptn,1.7938806106937042e-56,-0.8329708985621287,0.715,0.961,3.767149282456779e-52
Cryab,8.703576515717578e-56,0.5099323554623414,1,0.987,1.8277510683006915e-51
Sept7,1.763411084701377e-55,0.6748537477975374,0.999,0.996,3.703163277872892e-51
Ubb,2.573095280316171e-55,0.4481651316326065,1,1,5.403500088663959e-51
2810468N07Rik,4.2854659612037875e-54,-0.9316697212725367,0.687,0.948,8.999478518527954e-50
Ndufab1,7.714033686196519e-54,-0.9595634217146506,0.203,0.637,1.619947074101269e-49
Rnf7,1.2592781430201648e-53,0.7213161418021912,0.992,0.972,2.644484100342346e-49
Gpm6b,1.1425404658879596e-52,0.7383915272758195,0.997,0.955,2.399334978364715e-48
Selm,2.4073318705724363e-52,1.020128675995609,0.881,0.73,5.055396928202116e-48
Ube2d2,1.2004850961929709e-51,-0.93389148533351,0.229,0.654,2.521018702005239e-47
Cyc1,1.6757374061135982e-51,-0.8752227355749802,0.143,0.543,3.519048552838556e-47
Fdps,5.166153133767294e-51,-1.0556276272101965,0.518,0.854,1.0848921580911317e-46
Eef1a1,8.026764419523278e-51,0.6919161806435259,0.994,0.993,1.6856205280998885e-46
Idi1,1.1164149059037633e-50,-1.0238027473636295,0.161,0.564,2.344471302397903e-46
Sox8,2.1182744321077922e-50,-1.0839761699256532,0.159,0.56,4.448376307426364e-46
Eif1,2.70757897680452e-50,0.45382237722486085,1,1,5.6859158512894924e-46
Rcan2,1.157881918112214e-49,1.2962829691189452,0.66,0.363,2.431552028035649e-45
Tubb4a,1.771605653649489e-49,0.656997978807059,0.996,0.991,3.720371872663927e-45
Ptma,4.161986762702795e-49,0.44924385926326416,1,1,8.74017220167587e-45
Hmgn3,7.038345065196712e-49,-0.8991450760277886,0.364,0.788,1.4780524636913095e-44
