gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ly6a,3.057801121117061e-115,-0.48297645850575377,0.079,0.921,6.115602242234122e-112
Opalin,3.937536565128187e-96,-0.32580571671601877,0.025,0.696,7.875073130256374e-93
Ly6c1,1.0977081043755571e-94,-0.7167541160984677,0.074,0.877,2.1954162087511143e-91
Egfl7,1.2721075576580788e-85,-0.4327936625731529,0.065,0.849,2.5442151153161578e-82
Ifitm2,2.190130776180104e-63,-0.26344941219329887,0.111,0.849,4.380261552360208e-60
Ptgds,6.028637537899936e-60,-1.1929449678009807,0.218,0.96,1.2057275075799872e-56
Myoc,2.4870022869147255e-36,-0.6467948626064777,0.011,0.343,4.974004573829451e-33
Pllp,1.823469403473359e-34,-0.3237484842295521,0.029,0.583,3.646938806946718e-31
Rgs5,4.0286082381565615e-34,-0.3193189531057208,0.03,0.277,8.057216476313124e-31
Trf,6.703413392086023e-33,-0.37851323353329636,0.083,0.743,1.3406826784172046e-29
Gda,1.1726683432890336e-31,-0.2635500982700594,0.105,0.753,2.345336686578067e-28
Mal,4.5633495206908236e-24,-0.298565547954521,0.051,0.681,9.126699041381647e-21
Abhd2,6.097095909937773e-24,-0.31838096022574214,0.064,0.356,1.2194191819875546e-20
Uchl1,2.4463507952927565e-23,-0.30863780775525607,0.28,0.857,4.892701590585513e-20
Slc38a1,3.849511518352362e-23,-0.37747732518022,0.105,0.711,7.699023036704724e-20
Marcksl1,2.797622403083302e-22,-0.35958690810737426,0.039,0.363,5.595244806166604e-19
Marcks,1.2598126758881937e-21,-0.8802602672655293,0.125,0.726,2.5196253517763873e-18
Snhg11,5.62542864471049e-21,-0.3037879985695784,0.282,0.849,1.1250857289420979e-17
Pkig,1.3754171509104856e-19,-0.25676220551154283,0.155,0.743,2.7508343018209715e-16
Ly6e,1.5009963944268656e-19,-0.3161222793220879,0.098,0.701,3.0019927888537313e-16
Stmn4,6.022640287311894e-19,-0.4756345725506408,0.232,0.788,1.2045280574623789e-15
Atp6v1g2,6.338059373699934e-19,-0.38086016501033937,0.234,0.795,1.2676118747399869e-15
Pltp,3.047774457381394e-17,-0.3545164453112011,0.033,0.595,6.095548914762788e-14
Plp1,1.0898002931593662e-16,-1.2743427454451897,0.171,0.415,2.1796005863187323e-13
Cldn11,1.7105976969222003e-16,-0.47913833609316653,0.059,0.652,3.4211953938444006e-13
Ncald,6.567564267876756e-16,-0.3868422948458299,0.203,0.756,1.313512853575351e-12
Baiap2,4.5051458161096175e-15,-0.2509795065066045,0.165,0.726,9.010291632219234e-12
Igfbp5,4.803141463466174e-15,-0.5235836975974859,0.145,0.709,9.606282926932349e-12
Sncb,5.203273202727125e-14,-0.32410095880886236,0.264,0.788,1.040654640545425e-10
Itm2a,1.7670112201288045e-13,-0.3175400077736217,0.066,0.649,3.534022440257609e-10
Gem,4.72523414729844e-13,0.2838837362132347,0.183,0.743,9.45046829459688e-10
Tubb3,7.340011873254881e-13,-0.26842788284266605,0.199,0.736,1.4680023746509761e-9
Mag,1.5490341403117924e-12,-0.4971837554401798,0.035,0.607,3.0980682806235846e-9
Slco1a4,1.7728010896644319e-12,-0.3151221335391634,0.021,0.388,3.5456021793288637e-9
Ier2,9.391739145658142e-12,-0.46139157895874655,0.089,0.422,1.8783478291316283e-8
Stmn2,9.396432582600135e-12,-0.39993522625116396,0.264,0.464,1.879286516520027e-8
Zwint,1.3922832603569553e-10,-0.2545779983027425,0.531,0.965,2.7845665207139106e-7
Bex2,2.556889023542205e-10,-0.3303090184601345,0.388,0.84,5.113778047084409e-7
Nsg2,3.790383479583878e-9,-0.3531613066441256,0.118,0.657,7.580766959167756e-6
Enpp2,9.26423979681117e-9,-0.4866991276228531,0.103,0.644,1.8528479593622343e-5
Scrn1,1.2334656659198751e-8,-0.25154071618984214,0.089,0.442,2.4669313318397503e-5
Ywhah,3.5426067443556235e-8,-0.307813363220965,0.248,0.489,7.085213488711247e-5
Olfm1,9.904056192458234e-8,-0.2841311584156073,0.205,0.701,1.9808112384916466e-4
Fxyd6,1.4025873772298128e-7,-0.794797635298317,0.146,0.652,2.8051747544596253e-4
Gnb1,2.8017956603164306e-7,-0.2819346759161556,0.498,0.874,5.603591320632862e-4
Cck,1.0631900042109923e-6,-0.2976918334417554,0.168,0.481,0.0021263800084219847
Syt1,1.2885649676287247e-6,-0.32487018005594215,0.269,0.731,0.0025771299352574492
Ppp1r1a,1.8148907493382471e-6,-0.31250520737203596,0.093,0.459,0.003629781498676494
Mllt11,2.942084332627955e-6,-0.380777586334637,0.208,0.686,0.005884168665255911
Hsp90aa1,9.548162373269617e-6,-0.34181513398033925,0.793,0.99,0.019096324746539235
Tmsb4x,1.2897563798396936e-5,-0.3917183426013948,0.855,0.97,0.025795127596793872
Arf3,1.7986612045081717e-5,-0.25328452000389945,0.2,0.679,0.03597322409016343
Tubb5,2.771863567228523e-5,-0.3791400004131049,0.501,0.837,0.05543727134457046
Cxcl12,1.7244238628882135e-4,-0.45843980633817016,0.034,0.393,0.3448847725776427
Ctla2a,2.072166559995333e-4,-0.32498847878680415,0.023,0.415,0.4144333119990666
Atp2b1,3.9760579071172855e-4,-0.28341693615341934,0.269,0.541,0.7952115814234572
Sema6a,6.784524616129945e-4,-0.28793295512508643,0.036,0.449,1
Ctnnb1,7.728706583570868e-4,-0.27100093979019424,0.148,0.506,1
Mobp,0.0011108821330816946,-0.3231065966456578,0.086,0.595,1
Actb,0.001229706972135247,-0.3698530497612982,0.974,1,1
App,0.002194160920005658,-0.39691660782017046,0.229,0.659,1
Fyn,0.004548936892552879,-0.29813615575466923,0.17,0.635,1
