dataset_name,orig.ident,sex
Sepp_full_cerebellum_human,SN022,F
Sepp_full_cerebellum_human,SN023,M
Sepp_full_cerebellum_human,SN097,F
Sepp_full_cerebellum_human,SN100,M
Sepp_full_cerebellum_human,SN121,M
Sepp_full_cerebellum_human,SN133,M
Sepp_full_cerebellum_human,SN297,M
Sepp_full_cerebellum_mouse,SN006,F
Sepp_full_cerebellum_mouse,SN010,M
Sepp_full_cerebellum_mouse,SN013,F
Sepp_full_cerebellum_mouse,SN014,F
Sepp_full_cerebellum_mouse,SN015,F
Sepp_full_cerebellum_mouse,SN016,F
Sepp_full_cerebellum_mouse,SN017,M
Sepp_full_cerebellum_mouse,SN025,M
Sepp_full_cerebellum_mouse,SN032,F
Sepp_full_cerebellum_mouse,SN038,M
Sepp_full_cerebellum_mouse,SN039,M
Sepp_full_cerebellum_mouse,SN043,F
Sepp_full_cerebellum_mouse,SN044,M
Sepp_full_cerebellum_mouse,SN063,M
Sepp_full_cerebellum_mouse,SN069,F
Sepp_full_cerebellum_mouse,SN073,F
Sepp_full_cerebellum_mouse,SN088,F
Sepp_full_cerebellum_mouse,SN101,M
Sepp_full_cerebellum_mouse,SN102,F
Sepp_full_cerebellum_mouse,SN104,M
Sepp_full_cerebellum_mouse,SN106,F
Sepp_full_cerebellum_mouse,SN108,M
Sepp_full_cerebellum_mouse,SN126,F
Sepp_full_cerebellum_mouse,SN127,M
Sepp_full_cerebellum_mouse,SN128,F
Sepp_full_cerebellum_mouse,SN250,M+F
Sepp_full_cerebellum_mouse,SN251,M
Sepp_full_cerebellum_mouse,SN252,M
Vladoiu_full_cerebellum_mouse,Vladoiu-E10,F
Vladoiu_full_cerebellum_mouse,Vladoiu-E12,F
Vladoiu_full_cerebellum_mouse,Vladoiu-E14,F
Vladoiu_full_cerebellum_mouse,Vladoiu-E16,M
Vladoiu_full_cerebellum_mouse,Vladoiu-E18,M
Vladoiu_full_cerebellum_mouse,Vladoiu-P0,F
Vladoiu_full_cerebellum_mouse,Vladoiu-P5,M
Vladoiu_full_cerebellum_mouse,Vladoiu-P7,M
Vladoiu_full_cerebellum_mouse,Vladoiu-P14,F
