HGNC.symbol,MGI.symbol
MT-ND6,mt-Nd6
MT-ND4,mt-Nd4
MT-CO3,mt-Co3
MT-CO2,mt-Co2
MT-ND3,mt-Nd3
MT-ATP6,mt-Atp6
MT-ND2,mt-Nd2
MT-ND4L,mt-Nd4l
MT-CYB,mt-Cytb
MT-ND1,mt-Nd1
MT-ND5,mt-Nd5
MT-CO1,mt-Co1
MT-ATP8,mt-Atp8
SPIN2A,Gm20816
SPIN2A,Gm33815
SPIN2A,Gm28079
SPIN2A,Gm29644
SPIN2A,Gm21118
SYCP3,Gm20817
SYCP3,Gm28490
SYCP3,Gm21094
SYCP3,Gm20838
SYCP3,Gm20888
SYCP3,Gm20869
SYCP3,Gm20870
SYCP3,Gm20855
SYCP3,Gm20843
SPIN2B,Gm20816
SPIN2B,Gm33815
SPIN2B,Gm28079
SPIN2B,Gm29644
SPIN2B,Gm21118
SPIN2A,Gm20738
SPIN2A,Gm20867
SPIN2A,Gm20795
SPIN2A,Gm20806
SPIN2A,Gm20917
SPIN2A,Gm21394
SPIN2A,Gm20854
SPIN2A,Gm20747
SPIN2A,Gm21943
SPIN2A,Gm20823
SPIN2A,Gm20924
SYCP3,Gm20896
SYCP3,Gm20903
SYCP3,Gm20835
SYCP3,Gm29110
SYCP3,Gm20905
SYCP3,Gm20814
SYCP3,Gm20850
SYCP3,Gm20897
SYCP3,Gm21173
SYCP3,Gm21865
SYCP3,Gm21650
SYCP3,Gm29564
SYCP3,Gm29276
SYCP3,Gm20916
SYCP3,Gm21760
SYCP3,Gm21739
SYCP3,Gm28897
SYCP3,Gm20911
SYCP3,Gm21317
SYCP3,Gm28827
SYCP3,Gm21256
SYCP3,Gm20792
SYCP3,Gm21095
SYCP3,Gm28553
SYCP3,Gm21409
SYCP3,Gm21209
SYCP3,Gm28870
SYCP3,Gm20820
SYCP3,Gm20883
SYCP3,Gm21117
SYCP3,Gm21477
SYCP3,Gm20906
SYCP3,Gm20920
SYCP3,Gm28102
SYCP3,Gm21294
SYCP3,Gm21258
SYCP3,Gm21996
SYCP3,Gm20837
SYCP3,Gm20929
SYCP3,Gm20931
SYCP3,Gm21858
SYCP3,Sly
SYCP3,Gm28961
SYCP3,Gm21861
SYCP3,Gm28891
SYCP3,1700040F15Rik
SYCP3,Gm21497
SYCP3,Gm21518
SYCP3,Gm21627
SYCP3,Gm20908
SYCP3,Gm20736
SPIN2B,Gm20738
SPIN2B,Gm20867
SPIN2B,Gm20795
SPIN2B,Gm20806
SPIN2B,Gm20917
SPIN2B,Gm21394
SPIN2B,Gm20854
SPIN2B,Gm20747
SPIN2B,Gm21943
SPIN2B,Gm20823
SPIN2B,Gm20924
RNU6-103P,Gm23656
NDUFB4,Ndufb4
HNRNPA1,Hnrnpa1
YLPM1,Ylpm1
ZNF419,Zfy1
ZNF419,Zfy2
CTXN3,Ctxn3
ZNF185,Zfp185
ADAMTS19,Adamts19
RBMY1E,Gm29289
RBMY1E,Gm21677
RBMY1E,Gm21693
RBMY1E,Gm21704
RBMY1E,Gm21708
RBMY1E,Gm3376
RBMY1E,Gm4064
RBMY1E,Rbmy
RBMY1E,Gm10256
RBMY1E,Gm10352
ZNF608,Zfp608
CDX1,Cdx1
SNORA35B,Gm25107
NAGA,Naga
ZNF397,Zfp397
RBMY1D,Gm29289
RBMY1D,Gm21677
RBMY1D,Gm21693
RBMY1D,Gm21704
RBMY1D,Gm21708
RBMY1D,Gm3376
RBMY1D,Gm4064
RBMY1D,Rbmy
RBMY1D,Gm10256
RBMY1D,Gm10352
LTBP2,Ltbp2
ZNF552,Zfy1
ZNF552,Zfy2
SLC6A7,Slc6a7
ISCA2,Isca2
RNF125,Rnf125
RNU6-611P,Gm22886
GPR50,Gpr50
ITGA5,Itga5
CBX5,Cbx5
SEPTIN3,Septin3
LONRF3,Lonrf3
UBE2A,Ube2a
ZCCHC18,Zcchc12
MIR494,Mir494
MIR33A,Mir33
ZNF839,Zfp839
KIAA1210,Gm14569
RNU6-516P,Gm22597
USP9Y,Usp9y
MIR409,Mir409
ZNF586,Zfy1
ZNF586,Zfy2
PGF,Pgf
DSC2,Dsc2
MIR484,Mir484
SYNPO,Synpo
NDE1,Nde1
MARF1,Marf1
RNU6-180P,Gm23207
POPDC2,Popdc2
SYNDIG1L,Syndig1l
ABCB7,Abcb7
SLC25A43,Slc25a43
DTD2,Dtd2
DSG3,Dsg3
TECPR2,Tecpr2
GSK3B,Gsk3b
RBMY1F,Gm29289
RBMY1F,Gm21677
RBMY1F,Gm21693
RBMY1F,Gm21704
RBMY1F,Gm21708
RBMY1F,Gm3376
RBMY1F,Gm4064
RBMY1F,Rbmy
RBMY1F,Gm10256
RBMY1F,Gm10352
UTY,Uty
SPIN2A,Gm20852
SPIN2A,Ssty2
SPIN2A,Gm20809
SPIN2A,Gm20918
SPIN2A,Gm21854
SPIN2A,Gm20914
SPIN2A,Gm28171
SPIN2A,Gm21778
SPIN2A,Gm20873
SPIN2A,Gm21719
SPIN2A,Gm20830
SPIN2A,Gm21244
SPIN2A,Gm20826
SPIN2A,Gm29049
SPIN2A,Gm20825
SPIN2A,Gm20815
SPIN2A,Gm21292
SPIN2A,Gm21721
SPIN2A,Gm21812
SPIN2A,Gm21874
SPIN2A,Gm20821
SPIN2A,Gm21310
SPIN2A,Gm20834
SPIN2A,Gm20737
SPIN2A,Gm20777
SPIN2A,Gm20828
SPIN2A,Gm20812
SPIN2A,Gm20807
SPIN2A,Gm21425
SPIN2A,Gm21440
SPIN2A,Gm21454
SPIN2A,Gm20773
SPIN2A,Gm20822
SPIN2A,Gm20877
SPIN2A,Gm20772
SPIN2A,Gm20831
SPIN2A,Ssty1
SPIN2A,Gm20909
SPIN2A,Gm20865
SPIN2A,Spin2f
SPIN2A,Spin2e
SPIN2A,Gm21637
SPIN2A,Gm5926
SPIN2A,Spin2g
SPIN2A,Spin2d
MINAR2,Minar2
H2AL3,H2al2c
H2AL3,H2al2b
DSG4,Dsg4
RNU6-8,Gm24859
RNU6-8,Gm23296
CEP120,Cep120
ZNF584,Zfy1
ZNF584,Zfy2
HAS2,Has2
ZNF561,Zfy1
ZNF561,Zfy2
MIR410,Mir410
SNORD114-24,Gm22205
CINP,Cinp
DOCK11,Dock11
SNORD114-13,AF357341
SNORD114-13,Gm22981
SNORD114-13,Gm25856
ZNF256,Zfy1
ZNF256,Zfy2
PRRG3,Prrg3
GABRA3,Gabra3
DDX3Y,Ddx3y
RNU6-686P,Gm26038
LRATD1,Lratd1
TRIB2,Trib2
HTR2C,Htr2c
TIAM1,Tiam1
RBMY1J,Gm29289
RBMY1J,Gm21677
RBMY1J,Gm21693
RBMY1J,Gm21704
RBMY1J,Gm21708
RBMY1J,Gm3376
RBMY1J,Gm4064
RBMY1J,Rbmy
RBMY1J,Gm10256
RBMY1J,Gm10352
DIO3,Dio3
SMUG1,Smug1
CHSY3,Chsy3
FSTL1,Fstl1
SPIN2B,Gm20852
SPIN2B,Ssty2
SPIN2B,Gm20809
SPIN2B,Gm20918
SPIN2B,Gm21854
SPIN2B,Gm20914
SPIN2B,Gm28171
SPIN2B,Gm21778
SPIN2B,Gm20873
SPIN2B,Gm21719
SPIN2B,Gm20830
SPIN2B,Gm21244
SPIN2B,Gm20826
SPIN2B,Gm29049
SPIN2B,Gm20825
SPIN2B,Gm20815
SPIN2B,Gm21292
SPIN2B,Gm21721
SPIN2B,Gm21812
SPIN2B,Gm21874
SPIN2B,Gm20821
SPIN2B,Gm21310
SPIN2B,Gm20834
SPIN2B,Gm20737
SPIN2B,Gm20777
SPIN2B,Gm20828
SPIN2B,Gm20812
SPIN2B,Gm20807
SPIN2B,Gm21425
SPIN2B,Gm21440
SPIN2B,Gm21454
SPIN2B,Gm20773
SPIN2B,Gm20822
SPIN2B,Gm20877
SPIN2B,Gm20772
SPIN2B,Gm20831
SPIN2B,Ssty1
SPIN2B,Gm20909
SPIN2B,Gm20865
SPIN2B,Spin2f
SPIN2B,Spin2e
SPIN2B,Gm21637
SPIN2B,Gm5926
SPIN2B,Spin2g
SPIN2B,Spin2d
RNVU1-1,Gm22317
RNVU1-1,Gm25679
RNVU1-1,Gm26444
RNVU1-1,Gm24305
AKAP6,Akap6
SNORD114-12,Gm23787
FATE1,Fate1
ZNF385A,Zfp385a
ZNF24,Zfp24
WDR20,Wdr20
LMNB1,Lmnb1
TBC1D31,Tbc1d31
MEP1B,Mep1b
KRTAP7-1,Krtap7-1
C5orf63,C330018D20Rik
GABRE,Gabre
LRCH2,Lrch2
RNU6-321P,Gm23656
CCDC134,Ccdc134
FAM9C,Xlr5a
FAM9C,Xlr5b
NPAS3,Npas3
NOL4,Nol4
SNORD114-19,Gm23787
SNORD72,Snord72
MIR377,Mir377
F8A1,F8a
MIR154,Mir154
RPS14,Rps14
MEGF10,Megf10
NSDHL,Nsdhl
HEATR5A,Heatr5a
ZNF418,Zfy1
ZNF418,Zfy2
DSC1,Dsc1
F8A2,F8a
NFE2,Nfe2
ZNF304,Zfy1
ZNF304,Zfy2
RNU6-973P,Gm24296
ISOC1,Isoc1
FAM9B,Xlr5a
FAM9B,Xlr5b
ZNF773,Zfy1
ZNF773,Zfy2
NDST1,Ndst1
RBMY1B,Gm29289
RBMY1B,Gm21677
RBMY1B,Gm21693
RBMY1B,Gm21704
RBMY1B,Gm21708
RBMY1B,Gm3376
RBMY1B,Gm4064
RBMY1B,Rbmy
RBMY1B,Gm10256
RBMY1B,Gm10352
ZNF587B,Zfy1
ZNF587B,Zfy2
ZHX2,Zhx2
TRAPPC8,Trappc8
EAPP,Eapp
TTR,Ttr
RNU6-1126P,Gm24296
B4GALT6,B4galt6
MTBP,Mtbp
MIR448,Mir448
HSP90AA1,Hsp90aa1
CNGA2,Cnga2
FGF16,Fgf16
RPRD1A,Rprd1a
SYCP3,Gm20937
SYCP3,Gm31571
SYCP3,Gm21366
SYCP3,Gm20890
SYCP3,Gm21488
SYCP3,Gm20894
SYCP3,Gm29582
SYCP3,Gm28919
SYCP3,Gm28998
SYCP3,Gm28576
SYCP3,Gm20824
SYCP3,Gm28510
SYCP3,Gm29554
SYCP3,Gm30737
SYCP3,Gm35134
SYCP3,Gm29866
SYCP3,Gm10488
SYCP3,Gm14632
SYCP3,Gm10487
SYCP3,Gm10486
SYCP3,Gm14819
MIR187,Mir187
CSNK1G3,Csnk1g3
